Class,AUC
Atelectasis,0.8235662727928952
Cardiomegaly,0.8698795396855296
Consolidation,0.7822965699489182
Edema,0.8796788563442615
Effusion,0.8787014671307998
Emphysema,0.9107392392622964
Fibrosis,0.794704279460377
Hernia,0.8170528266913809
Infiltration,0.7533445819361199
Mass,0.850918881673337
No Finding,0.7823131185475881
Nodule,0.7808232550427113
Pleural_Thickening,0.8348400193383219
Pneumonia,0.7118973957979194
Pneumothorax,0.8575701792298294
