Model,Macro_AUC,Macro_F1
CheXNet_224,0.8426447161872204,0.14420015274052603
Novel_224,0.8661825833917418,0.23387819701104628
Novel_384,0.8687613892100128,0.24822017304384372
Hybrid_BCE_384,0.883725345300978,0.27832855054866745
