Pathology,AUC
Atelectasis,0.8104933708051419
Cardiomegaly,0.8496945887038183
Consolidation,0.7781019776990923
Edema,0.8920179933616725
Effusion,0.8680951685265311
Emphysema,0.9078503862041432
Fibrosis,0.7460712052175468
Hernia,0.8393346666016291
Infiltration,0.7402237064566297
Mass,0.8370735168264994
No Finding,0.773073177220995
Nodule,0.7599951592111387
Pleural_Thickening,0.8115378910241619
Pneumonia,0.7075570589968496
Pneumothorax,0.8590748774097848
